minute_bin,direction,voltage_std,motor_speed,sample_count,angle_mean,collapse_count,material,density,tribo_rank,resistivity,grouped_speed
1,Increasing,0.010881727886988605,1.0,12000,29.63625,32,teflon,2.2,-113.06,18,1
2,Increasing,0.019759269737943345,5.983336110648225,12002,30.195934065934065,91,teflon,2.2,-113.06,18,6
3,Increasing,0.04325236340625424,10.969161526921154,11998,32.916,125,teflon,2.2,-113.06,18,11
4,Increasing,0.0688435880485576,15.956673887685385,12002,37.91573248407643,157,teflon,2.2,-113.06,18,16
5,Increasing,0.07849283658035255,20.944157359559927,11998,39.450306748466254,163,teflon,2.2,-113.06,18,21
6,Decreasing,0.08457099762009901,26.0,11822,40.10666666666667,141,teflon,2.2,-113.06,18,26
7,Decreasing,0.09175421713343943,26.0,12002,37.89979865771812,149,teflon,2.2,-113.06,18,26
8,Decreasing,0.09541518609575776,21.090833333333332,12000,34.7329696969697,165,teflon,2.2,-113.06,18,21
9,Decreasing,0.09519070173462309,16.105833333333333,12000,32.78016853932584,178,teflon,2.2,-113.06,18,16
10,Decreasing,0.09364196850924361,11.117519586597766,11998,32.67377777777778,180,teflon,2.2,-113.06,18,11
11,Decreasing,0.08951267825728672,6.1316447258790205,12002,32.28648351648352,182,teflon,2.2,-113.06,18,6
12,Decreasing,0.08594359736347454,1.1408568094682447,11998,27.95379562043796,137,teflon,2.2,-113.06,18,1
1,Increasing,0.02190139890252651,1.0,12002,32.16428571428571,35,teflon,2.2,-113.06,18,1
2,Increasing,0.03504194846357265,5.983333333333333,12000,34.28123595505618,89,teflon,2.2,-113.06,18,6
3,Increasing,0.06708950386322042,10.969166666666666,12000,40.38094827586207,116,teflon,2.2,-113.06,18,11
4,Increasing,0.08071235167855456,15.950833333333334,12000,42.78287671232877,146,teflon,2.2,-113.06,18,16
5,Increasing,0.08209946951968983,20.936666666666667,12000,42.511,160,teflon,2.2,-113.06,18,21
6,Decreasing,0.08587557267025199,26.0,11818,43.34021126760564,142,teflon,2.2,-113.06,18,26
7,Decreasing,0.09174053765318638,26.0,12000,40.88151515151515,165,teflon,2.2,-113.06,18,26
8,Decreasing,0.09499057975449259,21.099983336110647,12002,36.92888888888889,144,teflon,2.2,-113.06,18,21
9,Decreasing,0.0964075575843131,16.113333333333333,12000,34.286484848484854,165,teflon,2.2,-113.06,18,16
10,Decreasing,0.09401114507834227,11.13,12000,33.10401234567902,162,teflon,2.2,-113.06,18,11
11,Decreasing,0.09290351451346848,6.143357226204367,11998,30.766167664670657,167,teflon,2.2,-113.06,18,6
12,Decreasing,0.0851326974639594,1.1625,12000,26.64679104477612,134,teflon,2.2,-113.06,18,1
1,Increasing,0.008728160181026325,1.0,11998,27.76469387755102,49,teflon,2.2,-113.06,18,1
2,Increasing,0.016765833037558447,5.985002499583403,12002,29.61,92,teflon,2.2,-113.06,18,6
3,Increasing,0.039968323673146934,10.974166666666667,12000,35.52885714285714,105,teflon,2.2,-113.06,18,11
4,Increasing,0.07716448892750068,15.955833333333333,12000,41.55625850340137,147,teflon,2.2,-113.06,18,16
5,Increasing,0.09302931082678954,20.942490415069177,11998,41.78328467153284,137,teflon,2.2,-113.06,18,21
6,Decreasing,0.09549741705873671,26.0,11840,41.55444444444444,153,teflon,2.2,-113.06,18,26
7,Decreasing,0.09957509183295761,26.0,12002,39.37041958041958,143,teflon,2.2,-113.06,18,26
8,Decreasing,0.10765103096892312,21.09084847474579,11998,35.68701298701299,154,teflon,2.2,-113.06,18,21
9,Decreasing,0.10991905828805243,16.1075,12000,33.24556886227545,167,teflon,2.2,-113.06,18,16
10,Decreasing,0.10727416907976735,11.125833333333333,12000,35.71165644171779,163,teflon,2.2,-113.06,18,11
11,Decreasing,0.10217328119800667,6.14,12000,35.38425806451613,155,teflon,2.2,-113.06,18,6
12,Decreasing,0.10056370246605711,1.1533333333333333,12000,30.934388489208633,139,teflon,2.2,-113.06,18,1
